Name,Sex,NOC,Year,Sport,Event,Medal,GDP,Population
Svetlana Aleksandrovna Masterkova,F,RUS,1996,Athletics,"Athletics Women's 1,500 metres",Gold,3.92E+11,148200000
Valter Matoevi,M,CRO,1996,Handball,Handball Men's Handball,Gold,1.39E+10,4581000
Ihor Hryhorovych Matviyenko,M,UKR,1996,Sailing,Sailing Men's Two Person Dinghy,Gold,4.46E+10,51060000
Renata Magorzata Mauer-Raska,F,POL,1996,Shooting,"Shooting Women's Air Rifle, 10 metres",Gold,1.60E+11,38610000
Anthuan Maybank,M,USA,1996,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,8.07E+12,269700000
Angelo Mazzoni,M,ITA,1996,Fencing,"Fencing Men's epee, Team",Gold,1.31E+12,56840000
Marnie Elizabeth McBean,F,CAN,1996,Rowing,Rowing Women's Double Sculls,Gold,1.17E+12,29164152
Katrina Felicia McClain (-Johnson),F,USA,1996,Basketball,Basketball Women's Basketball,Gold,8.07E+12,269700000
Nikki Kensengane McCray,F,USA,1996,Basketball,Basketball Women's Basketball,Gold,8.07E+12,269700000
Carla Renee McGhee,F,USA,1996,Basketball,Basketball Women's Basketball,Gold,8.07E+12,269700000
"Michael Scott ""Mike"" McKay",M,AUS,1996,Rowing,Rowing Men's Coxless Fours,Gold,4.00E+13,18310000
Ioannis Melissanidis,M,GRE,1996,Gymnastics,Gymnastics Men's Floor Exercise,Gold,1.46E+11,10590000
Yury Vasilyevich Melnichenko,M,KAZ,1996,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Gold,2.10E+10,15580000
Zoran Mikuli,M,CRO,1996,Handball,Handball Men's Handball,Gold,1.39E+10,4581000
Tiffeny Carleen Milbrett,F,USA,1996,Football,Football Women's Football,Gold,8.07E+12,269700000
Jearl Atawa Miles-Clark,F,USA,1996,Athletics,Athletics Women's 4 x 400 metres Relay,Gold,8.07E+12,269700000
Inger Z. Miller,F,USA,1996,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,8.07E+12,269700000
"Reginald Wayne ""Reggie"" Miller",M,USA,1996,Basketball,Basketball Men's Basketball,Gold,8.07E+12,269700000
"Shannon Lee Miller (-Phillips, -Falconetti)",F,USA,1996,Gymnastics,Gymnastics Women's Team All-Around,Gold,8.07E+12,269700000
"Shannon Lee Miller (-Phillips, -Falconetti)",F,USA,1996,Gymnastics,Gymnastics Women's Balance Beam,Gold,8.07E+12,269700000
Derek Bruce Mills,M,USA,1996,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,8.07E+12,269700000
Dominique Helena Moceanu (-Canales),F,USA,1996,Gymnastics,Gymnastics Women's Team All-Around,Gold,8.07E+12,269700000
Jean-Michel Monin,M,FRA,1996,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold,1.61E+12,59750000
Eliecer Montes de Oca Fleitas,M,CUB,1996,Baseball,Baseball Men's Baseball,Gold,2.50E+10,10990000
Noureddine Morceli,M,ALG,1996,Athletics,"Athletics Men's 1,500 metres",Gold,4.69E+10,29270000
Francis Georges Henri Moreau,M,FRA,1996,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold,1.61E+12,59750000
Sophie Michle Moresse-Pichot,F,FRA,1996,Fencing,"Fencing Women's epee, Team",Gold,1.61E+12,59750000
Ivn Moro Fernndez,M,ESP,1996,Water Polo,Water Polo Men's Water Polo,Gold,6.43E+11,39810000
"Jennifer Lynn ""Jenny"" Morris",F,AUS,1996,Hockey,Hockey Women's Hockey,Gold,4.00E+13,18310000
Manuela Mucke,F,GER,1996,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold,2.50E+12,81820000
Xeno Mller,M,SUI,1996,Rowing,Rowing Men's Single Sculls,Gold,3.30E+11,7062000
Halil Mutlu,M,TUR,1996,Weightlifting,Weightlifting Men's Flyweight,Gold,1.82E+11,62340000
Alvaro Nainovi,M,CRO,1996,Handball,Handball Men's Handball,Gold,1.39E+10,4581000
Kenzo Nakamura,M,JPN,1996,Judo,Judo Men's Lightweight,Gold,4.83E+12,125800000
Ludmila Viktorovna Narozhilenko-Engquist (Leonova-),F,SWE,1996,Athletics,Athletics Women's 100 metres Hurdles,Gold,2.92E+11,8837000
Pawe Marian Nastula,M,POL,1996,Judo,Judo Men's Half-Heavyweight,Gold,1.60E+11,38610000
Armen Lyudvikovich Nazaryan,M,ARM,1996,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Gold,1.60E+09,3168000
Aleksey Yuryevich Nemov,M,RUS,1996,Gymnastics,Gymnastics Men's Team All-Around,Gold,3.92E+11,148200000
Aleksey Yuryevich Nemov,M,RUS,1996,Gymnastics,Gymnastics Men's Horse Vault,Gold,3.92E+11,148200000
Lars Nieberg,M,GER,1996,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold,2.50E+12,81820000
Yelena Nikolayevna Nikolayeva (Kuznetsova-),F,RUS,1996,Athletics,Athletics Women's 10 kilometres Walk,Gold,3.92E+11,148200000
Vnuste Niyongabo,M,BDI,1996,Athletics,"Athletics Men's 5,000 metres",Gold,1.42E+09,5987043
Tadahiro Nomura,M,JPN,1996,Judo,Judo Men's Extra-Lightweight,Gold,4.83E+12,125800000
"Daniel Dion ""Dan"" O'Brien",M,USA,1996,Athletics,Athletics Men's Decathlon,Gold,8.07E+12,269700000
Leah Marie O'Brien-Amico,F,USA,1996,Softball,Softball Women's Softball,Gold,8.07E+12,269700000
Abiodun Olugbemiga Obafemi,M,NGR,1996,Football,Football Men's Football,Gold,5.11E+11,110700000
"Miguel ngel ""Miki"" Oca Gaia",M,ESP,1996,Water Polo,Water Polo Men's Water Polo,Gold,6.43E+11,39810000
Raisa Mirelda O'Farrill Bolanos,F,CUB,1996,Volleyball,Volleyball Women's Volleyball,Gold,2.50E+10,10990000
Uche Alozie Okechukwu,M,NGR,1996,Football,Football Men's Football,Gold,5.11E+11,110700000
"Augustine Azuka ""Jay-Jay"" Okocha",M,NGR,1996,Football,Football Men's Football,Gold,5.11E+11,110700000
Hakeem Abdul Olajuwon,M,USA,1996,Basketball,Basketball Men's Basketball,Gold,8.07E+12,269700000
Elisabeta Oleniuc-Lip,F,ROU,1996,Rowing,Rowing Women's Coxed Eights,Gold,3.69E+10,22660000
Sunday Ogorchukwu Oliseh,M,NGR,1996,Football,Football Men's Football,Gold,5.11E+11,110700000
V'iacheslav Mykolaiovych Oliynyk,M,UKR,1996,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold,4.46E+10,51060000
Jon C. Olsen,M,USA,1996,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,8.07E+12,269700000
Jon C. Olsen,M,USA,1996,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,8.07E+12,269700000
Ioana Olteanu (Clin-),F,ROU,1996,Rowing,Rowing Women's Coxed Eights,Gold,3.69E+10,22660000
Shaquille Rashuan O'Neal,M,USA,1996,Basketball,Basketball Men's Basketball,Gold,8.07E+12,269700000
"Susan ""Susie"" O'Neill",F,AUS,1996,Swimming,Swimming Women's 200 metres Butterfly,Gold,4.00E+13,18310000
Mobi Patrick Oparaku,M,NGR,1996,Football,Football Men's Football,Gold,5.11E+11,110700000
Wilson Oruma,M,NGR,1996,Football,Football Men's Football,Gold,5.11E+11,110700000
Carla Overbeck (Werden-),F,USA,1996,Football,Football Women's Football,Gold,8.07E+12,269700000
Antonio Pacheco Mass,M,CUB,1996,Baseball,Baseball Men's Baseball,Gold,2.50E+10,10990000
Juan Padilla Alfonso,M,CUB,1996,Baseball,Baseball Men's Baseball,Gold,2.50E+10,10990000
Denis Vladimirovich Pankratov,M,RUS,1996,Swimming,Swimming Men's 100 metres Butterfly,Gold,3.92E+11,148200000
