Name,Sex,NOC,Year,Sport,Event,Medal
Andr Flix Rischmann,M,FRA,1900,Rugby,Rugby Men's Rugby,Gold
Sidney John Robinson,M,GBR,1900,Athletics,"Athletics Men's 5,000 metres, Team",Gold
Conrad Karl Rderer,M,SUI,1900,Shooting,"Shooting Men's Free Pistol, 50 metres",Gold
Conrad Karl Rderer,M,SUI,1900,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Gold
Cornelius Louis Andr Roosevelt,M,USA,1900,Rugby,Rugby Men's Rugby,Gold
"Stanley Rupert ""Stan"" Rowley",M,AUS,1900,Athletics,"Athletics Men's 5,000 metres, Team",Gold
mile Sacr,M,FRA,1900,Sailing,Sailing Mixed 0-0.5 Ton,Gold
Silvaine Gustave Sandras,M,FRA,1900,Gymnastics,Gymnastics Men's Individual All-Around,Gold
Charles Edward Sands,M,USA,1900,Golf,Golf Men's Individual,Gold
mile Pierre Sarrade,M,FRA,1900,Rugby,Rugby Men's Rugby,Gold
Eugen Stahl Schmidt,M,DEN,1900,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
"Richard ""Dick"" Sheldon",M,USA,1900,Athletics,Athletics Men's Shot Put,Gold
Gustaf Fredrik Sderstrm,M,SWE,1900,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
"Frederick George ""Fred"" Spackman",M,GBR,1900,Football,Football Men's Football,Gold
Karl Gustaf Vilhelm Staaf (Johansson-),M,SWE,1900,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
Konrad Stheli,M,SUI,1900,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Gold
Konrad Stheli,M,SUI,1900,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Gold
Konrad Stheli,M,SUI,1900,Shooting,"Shooting Men's Free Rifle, Kneeling, 300 metres",Gold
Frederick Stapleton,M,GBR,1900,Water Polo,Water Polo Men's Water Polo,Gold
John Symes,M,GBR,1900,Cricket,Cricket Men's Cricket,Gold
Albert Philippe Taillandier,M,FRA,1900,Cycling,Cycling Men's Sprint,Gold
J. Howard Taylor,M,GBR,1900,Sailing,Sailing Mixed 3-10 Ton,Gold
Walter Beardsley Tewksbury,M,USA,1900,Athletics,Athletics Men's 200 metres,Gold
Walter Beardsley Tewksbury,M,USA,1900,Athletics,Athletics Men's 400 metres Hurdles,Gold
Michel Johann Thato,M,LUX,1900,Athletics,Athletics Men's Marathon,Gold
Oscar Waldemar Tietgens,M,GER,1900,Rowing,Rowing Men's Coxed Fours,Gold
Montagu Henry Toller,M,GBR,1900,Cricket,Cricket Men's Cricket,Gold
"Giovanni Giorgio ""Giangiorgio"" Trissino",M,ITA,1900,Equestrianism,Equestrianism Mixed High Jump,Gold
Richard Rennie Turner,M,GBR,1900,Football,Football Men's Football,Gold
Alfred Ernest Tysoe,M,GBR,1900,Athletics,Athletics Men's 800 metres,Gold
Alfred Ernest Tysoe,M,GBR,1900,Athletics,"Athletics Men's 5,000 metres, Team",Gold
Gerard Theodor Hubert Van Innis,M,BEL,1900,Archery,"Archery Men's Au Chapelet, 33 metres",Gold
Gerard Theodor Hubert Van Innis,M,BEL,1900,Archery,"Archery Men's Au Cordon Dore, 33 metres",Gold
Constant Octave Van Langhendonck,M,BEL,1900,Equestrianism,Equestrianism Mixed Long Jump,Gold
Francisco Villota y Baquiola,M,ESP,1900,Basque Pelota,Basque Pelota Men's Two-Man Teams With Cesta,Gold
Chrtien Andr Waydelich,M,FRA,1900,Croquet,"Croquet Mixed Singles, Two Balls",Gold
Ottokar Weise,M,GER,1900,Sailing,Sailing Mixed 1-2 Ton,Gold
Paul Wiesner,M,GER,1900,Sailing,Sailing Mixed 1-2 Ton,Gold
Charles Gustav Wilhelm Winckler,M,DEN,1900,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
"Walter John ""Jack"" Zealley",M,GBR,1900,Football,Football Men's Football,Gold
"Louis Grenville ""Lou"" Abell",M,USA,1904,Rowing,Rowing Men's Coxed Eights,Gold
Charles Ewing Armstrong,M,USA,1904,Rowing,Rowing Men's Coxed Eights,Gold
"Samuel ""Sam"" Berger",M,USA,1904,Boxing,Boxing Men's Heavyweight,Gold
Joseph lie Blanchard,M,CAN,1904,Lacrosse,Lacrosse Men's Lacrosse,Gold
